Mobile,Image_Url,Prices,Refurbished,Stores,Delivery,Timestamp,Product_Url
"Samsung Galaxy S20 FE 5G (Cloud Lavender, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS8AmsdZ4TJr37Ekt2AhwSPi0VBy6fn0Apj0KwnHfq0vlLCsAYRt781MEMk7VU24UQYM2O7FO2BlnKsx9C1SDnwpK1ry139ItemkOfgs5Het3MQHQfW_X1O&usqp=CAE,"₹32,990.00",--,Amazon.in,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABA1GgJzZg&sig=AOD64_0VmDLM5Os9DGvpDOL4csWDZOn2Nw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I1A0&adurl=
Samsung Galaxy J2 (8GB) (1GB RAM),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRAHzrsPsfc6zw55NzqQHTcuE-EohuT5N_rVcDUE7BKZ9-PrN8vw0tb-wQEN9_uvIFpF5hLkj3wv9nP-lDxXn8PfEYiUOqUh-_N6PSAa6apso23QrYEgRY-QQ&usqp=CAE,"₹4,950.00 ",Refurbished_mobile,addmecart,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABA3GgJzZg&sig=AOD64_02GYCCh0hO1y8QJBxtb-Kg45Ml1g&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I1w0&adurl=
"Samsung Galaxy Z Flip 4 5G 128 GB (Blue, 8 GB RAM)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSA1es4ZoXFKP8ToHZvbDX5ujrIPK58o-Opxhr4lNK3lVpdmonIJRvjmhYEX8-ttx3PUDC3k3XXPEB1Xd7REz3jGIW_Zmf0p_7tmVVZ1h0&usqp=CAE,"₹90,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABA5GgJzZg&sig=AOD64_1r5LRnRctcj2z7BGs-4664WfnStA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I2w0&adurl=
"Samsung Galaxy S20 FE 5G (8 GB RAM, 128 GB Storage, Cloud Navy)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS9fvOfnEIULnqcCrzS4Q2HnQX1WXAPhDT8f7trwiwDyiDAVSEByuhAhF89ltbJrfYiIBb0uL6LkHEg82lVKtiG6kg16c1Yuutv6sG2jprVguVIhdx1bcXg&usqp=CAE,"₹37,999.00",--,Vijay Sales,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABA7GgJzZg&sig=AOD64_1YJSUebl4UgXYNC2vI1snV2RsvEg&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I3g0&adurl=
"SAMSUNG Galaxy A03 (3GB RAM, 32GB, Red)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSCRD42R6zQDY_n8xVWgVMPmhxSBRXhKIc5RpSigbbeujpLIFEIoVUf2o26vxDD5g1NOKgu9sOZKINwDpAo1LCrvIB7RrGUFxUN8EoDSkFojeSHwvkf7YNY&usqp=CAE,"₹8,499.00",--,Croma,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABA9GgJzZg&sig=AOD64_1LiUId5IqfSXPd0oSvNdCSzAvEQg&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I4Q0&adurl=
"Samsung A50 64 GB (White, 4 GB RAM)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQsDEBJX-GxtYKejMdPt8U7nQ-wVmch4KobbGQkhZ0CQX2VoyXLAWcOKL91Z63mee-_pH8OnSm9xVCl6_DvBDgh1CPEZk8A8ZS21rymiQ&usqp=CAE,"₹21,000.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABA_GgJzZg&sig=AOD64_1tYmajhMSGsrhyfeEyy8mgSm7mUw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I5A0&adurl=
Samsung Galaxy M30s 64GB 4GB RAM Refurbished,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT7xW_BcjJ-P9sY8MccpyiuvZCQfuprK_ddkeCsOe6fgjvA6s-04gMDZ3w1tOaN9P0wS5IdTyseQSf_y-cHxRFza6w-CyMXk3DFW6ckzt37bJdLn03PC4Prpw&usqp=CAE,"₹5,999.00 ",Refurbished_mobile,vlebazaar,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABBBGgJzZg&sig=AOD64_2OLVhWmaCbQdQg3cnRHJPpO4XfNA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I5w0&adurl=
Samsung galaxy s10 8gb 128gb (certified refurbished) (good),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTRisfGRI2bojpJy7dualJg_2Euy3EmyQg_zDbrheLfBCMaE3j4X0OJ7STbIKy5RFM_XYX4Cj2GSN1_pj83SgIbxr1XwSLt9G2G-W5coVjBmLJ-0bgF48UW&usqp=CAE,"₹24,990.00 ",Refurbished_mobile,vexclusive.in,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABBDGgJzZg&sig=AOD64_3rf6BhLbfBYaYqtLhkB-GzJrIlAA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I7A0&adurl=
Samsung Note 20 Ultra 12GB 256GB (Refurbished) (very Good),https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRH_vXolkSFtci7hIWOX1t6QIFSoOYtrNoZEJcSs2_0eD-H4Tj6BqwhroGe-9pFIVHkXWPY6HZgen72YRNvBb1B3ySYfKakGdAO5qufTgBk&usqp=CAE,"₹52,990.00 ",Refurbished_mobile,Best of Indian Products,Free returns,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABBFGgJzZg&sig=AOD64_3k326JUiQpjZ1E_bQyKl4VAAjuiw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I8A0&adurl=
"Samsung Galaxy Note 20 Ultra 256 GB (Mystic Bronze, 12 GB RAM)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQmyyCGaLaycDGVGEVpbpp5lt-lCg-A2zQSs7v6m5tYESSbQtTzODoDjQkj8VZzc4zbcm5mIniOwZ2Yy-6fAWFRjVW6ewpHzHqO805mVs0&usqp=CAE,"₹1,16,000.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABBHGgJzZg&sig=AOD64_2Enpn-VOf4DxxkVqv-TxyRspa2Pw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I9A0&adurl=
